Name,desc,SUBZONE_NO,SUBZONE_N,PLN_AREA_N,REGION_N,lon,lat
kml_442,,1,JOO KOON,PIONEER,WEST REGION,103.678520709416,1.32750208435071
kml_443,,1,JOO KOON,PIONEER,WEST REGION,103.67864407705,1.32795611158311
kml_444,,3,CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION,103.74422358398,1.38570539087775
kml_445,,2,TURF CLUB,SUNGEI KADUT,NORTH REGION,103.762496770655,1.42512495908287
kml_446,,6,WOODLANDS WEST,WOODLANDS,NORTH REGION,103.774410520256,1.43275137212607
kml_447,,6,WOODLANDS WEST,WOODLANDS,NORTH REGION,103.773997133474,1.43275136139061
kml_448,,1,MARITIME SQUARE,BUKIT MERAH,CENTRAL REGION,103.821580291367,1.26497195994537
kml_449,,1,MARITIME SQUARE,BUKIT MERAH,CENTRAL REGION,103.821398857388,1.26597925459037
kml_450,,1,MARITIME SQUARE,BUKIT MERAH,CENTRAL REGION,103.820468350443,1.26601318294604
kml_451,,3,CHINATOWN,OUTRAM,CENTRAL REGION,103.843797887983,1.2837127707479
kml_452,,2,CLARKE QUAY,SINGAPORE RIVER,CENTRAL REGION,103.845903432843,1.28780575305488
kml_453,,2,CLARKE QUAY,SINGAPORE RIVER,CENTRAL REGION,103.846593908878,1.28919925769258
kml_454,,6,MACKENZIE,ROCHOR,CENTRAL REGION,103.84936002991,1.30560525078687
kml_455,,1,FARRER PARK,ROCHOR,CENTRAL REGION,103.84970482287,1.30635155419562
kml_456,,1,FARRER PARK,ROCHOR,CENTRAL REGION,103.850322159847,1.30742644465301
kml_457,,7,KAMPONG JAVA,KALLANG,CENTRAL REGION,103.852974635345,1.31245360603209
kml_458,,1,FARRER PARK,ROCHOR,CENTRAL REGION,103.853266824427,1.31191067854743
kml_459,,1,FARRER PARK,ROCHOR,CENTRAL REGION,103.854772747486,1.31232690863988
kml_460,,6,LAVENDER,KALLANG,CENTRAL REGION,103.855500982741,1.31225903662177
kml_461,,6,LAVENDER,KALLANG,CENTRAL REGION,103.855806657533,1.31176587685384
kml_462,,6,LAVENDER,KALLANG,CENTRAL REGION,103.856098851954,1.31188350800742
kml_463,,1,BENDEMEER,KALLANG,CENTRAL REGION,103.860706833422,1.3179148161836
kml_464,,9,POTONG PASIR,TOA PAYOH,CENTRAL REGION,103.868966444964,1.33280135230665
kml_465,,9,CRAWFORD,KALLANG,CENTRAL REGION,103.86415174808,1.29966075966663
kml_466,,4,TYERSALL,TANGLIN,CENTRAL REGION,103.814976905905,1.32253463279625
kml_467,,4,TYERSALL,TANGLIN,CENTRAL REGION,103.807965230906,1.31749372625796
kml_468,,8,FARRER COURT,BUKIT TIMAH,CENTRAL REGION,103.807389234189,1.31755201640806
kml_469,,7,LEEDON PARK,BUKIT TIMAH,CENTRAL REGION,103.795753769754,1.31071120133351
kml_470,,7,LEEDON PARK,BUKIT TIMAH,CENTRAL REGION,103.796139102492,1.31122026541623
kml_471,,12,BAYFRONT SUBZONE,DOWNTOWN CORE,CENTRAL REGION,103.859596872547,1.28283490844595
kml_472,,12,BAYFRONT SUBZONE,DOWNTOWN CORE,CENTRAL REGION,103.859759179948,1.28270522442008
kml_473,,1,ANAK BUKIT,BUKIT TIMAH,CENTRAL REGION,103.77545067971,1.3415822146135
kml_474,,3,BISHAN EAST,BISHAN,CENTRAL REGION,103.850201082225,1.35105321965316
