X1,Street,lon,lat,group_id,min_hawker,SUBZONE_NO,SUBZONE_N,REGION_N,min_clinic,min_school,min_MRT
164,EUNOS RD 5,103.8984831375,1.3182649375,164,172.354407527246,4,TOWNSVILLE,NORTH-EAST REGION,177,1208,577
165,EVERTON PK,103.839331528571,1.27712935714286,165,430.634611281795,4,ALJUNIED,CENTRAL REGION,40,496,328
166,FAJAR RD,103.769440239286,1.383416425,166,727.136980842648,4,TOWNSVILLE,NORTH-EAST REGION,304,395,199
167,FARRER PK RD,103.851765825,1.31186435,167,504.984442893731,4,TOWNSVILLE,NORTH-EAST REGION,715,205,214
168,FARRER RD,103.8031589,1.30987995,168,453.839143358375,4,TOWNSVILLE,NORTH-EAST REGION,843,943,1042
169,FERNVALE LANE,103.873359488889,1.38870053333333,169,521.425914417539,4,TOWNSVILLE,NORTH-EAST REGION,740,256,706
170,FERNVALE LINK,103.8784178625,1.39182745,170,153.280010280912,4,TOWNSVILLE,NORTH-EAST REGION,1490,259,243
171,FERNVALE RD,103.875727278788,1.39099857878788,171,162.244860818298,4,TOWNSVILLE,NORTH-EAST REGION,1192,272,167
172,FRENCH RD,103.82953875,1.30538245,172,1327.6504670851,4,TOWNSVILLE,NORTH-EAST REGION,8,1263,334
173,GANGSA RD,103.766556511538,1.37750182307692,173,660.367535287629,4,TOWNSVILLE,NORTH-EAST REGION,205,353,125
174,GEYLANG BAHRU,103.869477122222,1.32299532222222,174,179.387951645527,4,TOWNSVILLE,NORTH-EAST REGION,171,683,346
175,GEYLANG EAST AVE 1,103.88675521,1.31730037,175,371.358669576216,4,TOWNSVILLE,NORTH-EAST REGION,249,634,528
176,GEYLANG EAST AVE 2,103.8881673,1.3168154,176,442.668708100614,4,TOWNSVILLE,NORTH-EAST REGION,194,787,468
177,GEYLANG EAST CTRL,103.885084633333,1.31800226666667,177,363.249887374716,4,TOWNSVILLE,NORTH-EAST REGION,249,311,489
178,GEYLANG SERAI,103.8980509,1.31738743333333,178,75.4118630294936,4,TOWNSVILLE,NORTH-EAST REGION,270,1125,692
179,GHIM MOH LINK,103.78554864,1.30874782,179,388.465519528743,4,TOWNSVILLE,NORTH-EAST REGION,599,840,798
180,GHIM MOH RD,103.7882237875,1.3111498375,180,16.997567498063,4,TOWNSVILLE,NORTH-EAST REGION,150,1044,722
181,GLOUCESTER RD,103.799,1.3033,181,316.95905238799,4,TOWNSVILLE,NORTH-EAST REGION,421,558,146
182,HAIG RD,103.835905738462,1.30978133846154,182,469.173090404159,4,TOWNSVILLE,NORTH-EAST REGION,1175,843,444
183,HAVELOCK RD,103.8295368,1.28942023333333,183,160.071713975329,4,TOWNSVILLE,NORTH-EAST REGION,298,984,954
184,HENDERSON CRES,103.821863833333,1.29003678333333,184,454.332358837475,4,TOWNSVILLE,NORTH-EAST REGION,520,456,737
185,HENDERSON RD,103.9156225,1.3040803,185,188.049244855058,4,TOWNSVILLE,NORTH-EAST REGION,347,391,2383
186,HILLVIEW AVE,103.90399248,1.30764638,186,310.467305579415,4,TOWNSVILLE,NORTH-EAST REGION,158,602,1866
187,HO CHING RD,103.72403635,1.33431165,187,281.736968575969,4,TOWNSVILLE,NORTH-EAST REGION,410,594,1494
188,HOLLAND AVE,103.81399355,1.34459665,188,2262.71100919724,3,CHONG BOON,NORTH-EAST REGION,9001,9577,9021
189,HOLLAND CL,103.805689477778,1.3086711,189,624.586439444481,3,CHONG BOON,NORTH-EAST REGION,1382,1445,1452
190,HOLLAND DR,103.840352763158,1.31621154210526,190,485.619875137245,3,CHONG BOON,NORTH-EAST REGION,403,1289,600
191,HOUGANG AVE 1,103.88769874,1.352320915,191,313.703264506115,3,CHONG BOON,NORTH-EAST REGION,350,367,1485
192,HOUGANG AVE 10,103.894087147727,1.37481690227273,192,1238.16262176451,3,CHONG BOON,NORTH-EAST REGION,553,540,792
193,HOUGANG AVE 2,103.88872645,1.366075625,193,827.782185638177,3,CHONG BOON,NORTH-EAST REGION,405,760,960
194,HOUGANG AVE 3,103.891892990909,1.36228883181818,194,745.785096749442,3,CHONG BOON,NORTH-EAST REGION,306,760,1093
195,HOUGANG AVE 4,103.885416285,1.37408258,195,309.50886569599,3,CHONG BOON,NORTH-EAST REGION,254,729,1108
196,HOUGANG AVE 5,103.896044103226,1.36758199032258,196,1459.67649108599,3,CHONG BOON,NORTH-EAST REGION,137,472,766
197,HOUGANG AVE 6,103.89188606,1.374784712,197,993.913827397272,3,CHONG BOON,NORTH-EAST REGION,251,381,328
198,HOUGANG AVE 7,103.898589605882,1.37033864705882,198,1826.28250860672,3,CHONG BOON,NORTH-EAST REGION,375,493,1167
199,HOUGANG AVE 8,103.885744616832,1.37299306831683,199,409.07907156795,3,CHONG BOON,NORTH-EAST REGION,91,895,934
200,HOUGANG AVE 9,103.879484678947,1.37683366842105,200,418.643967089562,3,CHONG BOON,NORTH-EAST REGION,179,204,1939
201,HOUGANG CTRL,103.891947570588,1.37046107647059,201,1139.37176231161,3,CHONG BOON,NORTH-EAST REGION,882,756,18
202,HOUGANG ST 11,103.8796264625,1.35230475,202,1033.14671382705,3,CHONG BOON,NORTH-EAST REGION,506,727,842
203,HOUGANG ST 21,103.88636872,1.35776761,203,155.684580972394,3,CHONG BOON,NORTH-EAST REGION,380,568,672
204,HOUGANG ST 22,103.8914943875,1.3574453625,204,428.837059778229,3,CHONG BOON,NORTH-EAST REGION,658,332,1029
205,HOUGANG ST 31,103.889814266667,1.3632223,205,622.999683927676,3,CHONG BOON,NORTH-EAST REGION,361,841,810
206,HOUGANG ST 51,103.889361776667,1.37914567,206,820.742402453292,3,CHONG BOON,NORTH-EAST REGION,501,709,894
207,HOUGANG ST 52,103.8893506,1.376792125,207,725.032964698082,3,CHONG BOON,NORTH-EAST REGION,270,528,1012
208,HOUGANG ST 61,103.8866465875,1.37600563125,208,413.218078524856,3,CHONG BOON,NORTH-EAST REGION,512,486,1042
209,HOUGANG ST 91,103.881301036667,1.37721564,209,271.770944909378,3,CHONG BOON,NORTH-EAST REGION,308,50,1725
210,HOUGANG ST 92,103.880120163636,1.37413451818182,210,348.766280395505,3,CHONG BOON,NORTH-EAST REGION,366,780,1805
211,HOY FATT RD,103.810864066667,1.2872365,211,306.113488710602,3,CHONG BOON,NORTH-EAST REGION,375,778,922
212,HU CHING RD,103.7248064,1.3282745,212,788.260200975078,3,CHONG BOON,NORTH-EAST REGION,654,319,2404
213,INDUS RD,103.8273304,1.2911636,213,258.929001653855,3,CHONG BOON,NORTH-EAST REGION,48,754,991
214,JELAPANG RD,103.766144071795,1.38582542307692,214,1151.43992681479,3,CHONG BOON,NORTH-EAST REGION,192,359,304
215,JELEBU RD,103.76285266,1.37964144,215,1095.95595078171,3,CHONG BOON,NORTH-EAST REGION,307,718,201
216,JELLICOE RD,103.8616183,1.3071169,216,293.782500518915,3,CHONG BOON,NORTH-EAST REGION,175,779,186
217,JLN BAHAGIA,103.857221608,1.327117988,217,516.623073544417,3,CHONG BOON,NORTH-EAST REGION,359,955,1217
