school_name,address,postal_code,dgp_code,zone_code,lon,lat,SUBZONE_NO,SUBZONE_N,PLN_AREA_N,REGION_N
NAN HUA PRIMARY SCHOOL,170 WEST COAST ROAD Singapore,127443,CLEMENTI,WEST,103.7652142,1.3065701,7,CLEMENTI WOODS,CLEMENTI,WEST REGION
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7 PEI WAH AVENUE Singapore,597610,BUKIT TIMAH,WEST,103.77613,1.338081,1,ANAK BUKIT,BUKIT TIMAH,CENTRAL REGION
AI TONG SCHOOL,100 BRIGHT HILL DRIVE Singapore,579646,BISHAN,SOUTH,103.832615,1.360415,1,UPPER THOMSON,BISHAN,CENTRAL REGION
HONG WEN SCHOOL,30 TOWNER ROAD Singapore,327829,KALLANG,SOUTH,103.8576768,1.3219278,1,BENDEMEER,KALLANG,CENTRAL REGION
HOLY INNOCENTS' PRIMARY SCHOOL,5 LORONG LOW KOON Singapore,536451,HOUGANG,SOUTH,103.893711,1.366573,2,KANGKAR,HOUGANG,NORTH-EAST REGION
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),298 LORONG AH SOO Singapore,536741,HOUGANG,EAST,103.884813,1.351003,8,TAI SENG,HOUGANG,NORTH-EAST REGION
CHONGFU SCHOOL,170 YISHUN AVENUE 6 Singapore,768959,YISHUN,NORTH,103.8389256,1.4386291,2,NORTHLAND,YISHUN,NORTH REGION
CHIJ (KATONG) PRIMARY,17 MARTIA ROAD Singapore,424821,BEDOK,EAST,103.9109552,1.3064102,5,FRANKEL,BEDOK,EAST REGION
ANGLO-CHINESE SCHOOL (PRIMARY),50 BARKER ROAD Singapore,309918,NOVENA,SOUTH,103.8351774,1.3186587,3,MALCOLM,NOVENA,CENTRAL REGION
ANGLO-CHINESE SCHOOL (INDEPENDENT),121 DOVER ROAD Singapore,139650,QUEENSTOWN,SOUTH,103.7809869,1.302298,10,DOVER,QUEENSTOWN,CENTRAL REGION
ASSUMPTION ENGLISH SCHOOL,622 UPPER BUKIT TIMAH ROAD Singapore,678117,BUKIT PANJANG,WEST,103.7661047,1.3681024,6,DAIRY FARM,BUKIT PANJANG,WEST REGION
CHIJ SECONDARY (TOA PAYOH),626 LORONG 1 TOA PAYOH Singapore,319764,TOA PAYOH,SOUTH,103.8432669,1.3324745,2,TOA PAYOH CENTRAL,TOA PAYOH,CENTRAL REGION
GEYLANG METHODIST SCHOOL (SECONDARY),2 GEYLANG EAST CENTRAL Singapore,389705,GEYLANG,EAST,103.8829,1.318124,4,ALJUNIED,GEYLANG,CENTRAL REGION
CHIJ KATONG CONVENT,346 MARINE TERRACE Singapore,449150,MARINE PARADE,EAST,103.9173898,1.3065932,3,MARINE PARADE,MARINE PARADE,CENTRAL REGION
MONTFORT SECONDARY SCHOOL,50 HOUGANG AVENUE 8 Singapore,538785,HOUGANG,NORTH,103.888992,1.373518,4,HOUGANG WEST,HOUGANG,NORTH-EAST REGION
SINGAPORE CHINESE GIRLS' SCHOOL,190 DUNEARN ROAD Singapore,309437,NOVENA,NORTH,103.8280003,1.3211402,3,MALCOLM,NOVENA,CENTRAL REGION
ST. ANDREW'S SECONDARY SCHOOL,15 FRANCIS THOMAS DRIVE Singapore,359342,TOA PAYOH,SOUTH,103.8658718,1.3307305,9,POTONG PASIR,TOA PAYOH,CENTRAL REGION
ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL,1600 BEDOK NORTH AVENUE 4 Singapore,469700,BEDOK,EAST,103.9419352,1.3346718,4,BEDOK NORTH,BEDOK,EAST REGION
ST. GABRIEL'S SECONDARY SCHOOL,24 SERANGOON AVENUE 1 Singapore,556140,SERANGOON,SOUTH,103.8754893,1.3468395,7,UPPER PAYA LEBAR,SERANGOON,NORTH-EAST REGION
CHIJ ST. JOSEPH'S CONVENT,62 SENGKANG EAST WAY Singapore,548595,SENG KANG,NORTH,103.902461,1.391747,2,RIVERVALE,SENGKANG,NORTH-EAST REGION
ST. JOSEPH'S INSTITUTION,38 MALCOLM ROAD Singapore,308274,NOVENA,SOUTH,103.828591,1.322914,3,MALCOLM,NOVENA,CENTRAL REGION
ST. MARGARET'S SECONDARY SCHOOL,111 FARRER ROAD Singapore,259240,BUKIT TIMAH,SOUTH,103.8094906,1.3198595,8,FARRER COURT,BUKIT TIMAH,CENTRAL REGION
ST. PATRICK'S SCHOOL,490 EAST COAST ROAD Singapore,429058,BEDOK,EAST,103.916926,1.3085736,5,FRANKEL,BEDOK,EAST REGION
CHIJ ST. THERESA'S CONVENT,160 LOWER DELTA ROAD Singapore,099138,BUKIT MERAH,SOUTH,103.8218103,1.2753258,14,TELOK BLANGAH WAY,BUKIT MERAH,CENTRAL REGION
CHRIST CHURCH SECONDARY SCHOOL,20 WOODLANDS DRIVE 17 Singapore,737924,WOODLANDS,NORTH,103.793419,1.426395,4,WOODLANDS SOUTH,WOODLANDS,NORTH REGION
