school_name,address,postal_code,dgp_code,zone_code,lon,lat,SUBZONE_NO,SUBZONE_N,PLN_AREA_N,REGION_N
KRANJI SECONDARY SCHOOL,38 TECK WHYE CRESCENT Singapore,688945,CHOA CHU KANG,WEST,103.756524,1.381679,1,TECK WHYE,CHOA CHU KANG,WEST REGION
JUYING SECONDARY SCHOOL,33 JURONG WEST STREET 91 Singapore,649038,JURONG WEST,WEST,103.6871273,1.3386025,8,YUNNAN,JURONG WEST,WEST REGION
WEST SPRING SECONDARY SCHOOL,61 SENJA  ROAD Singapore,677737,BUKIT PANJANG,WEST,103.760018,1.387707,1,SENJA,BUKIT PANJANG,WEST REGION
JURONG WEST SECONDARY SCHOOL,61 JURONG WEST STREET 65 Singapore,648348,JURONG WEST,WEST,103.702086,1.335276,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION
BEDOK GREEN SECONDARY SCHOOL,360 BEDOK NORTH AVE 3 Singapore,469722,BEDOK,EAST,103.935336,1.3341416,4,BEDOK NORTH,BEDOK,EAST REGION
PUNGGOL SECONDARY SCHOOL,51 EDGEFIELD PLAINS Singapore,828870,PUNGGOL,NORTH,103.909443,1.402069,5,WATERWAY EAST,PUNGGOL,NORTH-EAST REGION
NORTH VISTA SECONDARY SCHOOL,11 RIVERVALE LINK Singapore,545081,SENG KANG,NORTH,103.8990751,1.38121,2,RIVERVALE,SENGKANG,NORTH-EAST REGION
ADMIRALTY SECONDARY SCHOOL,31 WOODLANDS CRESCENT Singapore,737916,WOODLANDS,NORTH,103.8026082,1.4462673,3,WOODLANDS EAST,WOODLANDS,NORTH REGION
PEI HWA SECONDARY SCHOOL,21 FERNVALE LINK Singapore,797702,SENG KANG,NORTH,103.8785975,1.3907376,6,FERNVALE,SENGKANG,NORTH-EAST REGION
GREENDALE SECONDARY SCHOOL,51 EDGEDALE PLAINS Singapore,828866,PUNGGOL,NORTH,103.9117179,1.396986,4,PUNGGOL FIELD,PUNGGOL,NORTH-EAST REGION
EDGEFIELD SECONDARY SCHOOL,36 PUNGGOL FIELD Singapore,828814,PUNGGOL,NORTH,103.902302,1.399882,3,MATILDA,PUNGGOL,NORTH-EAST REGION
MERIDIAN SECONDARY SCHOOL,31 PASIR RIS STREET 51 Singapore,518901,PASIR RIS,EAST,103.949261,1.3671009,3,PASIR RIS CENTRAL,PASIR RIS,EAST REGION
LOYANG VIEW SECONDARY SCHOOL,12 PASIR RIS STREET 11 Singapore,519073,PASIR RIS,EAST,103.956826,1.366972,5,PASIR RIS DRIVE,PASIR RIS,EAST REGION
DUNMAN HIGH SCHOOL,10 TANJONG RHU ROAD Singapore,436895,KALLANG,EAST,103.8835308,1.2982166,5,TANJONG RHU,KALLANG,CENTRAL REGION
RIVER VALLEY HIGH SCHOOL,6 BOON LAY AVENUE Singapore,649961,JURONG WEST,WEST,103.709695,1.3431764,2,BOON LAY PLACE,JURONG WEST,WEST REGION
AHMAD IBRAHIM SECONDARY SCHOOL,751 YISHUN AVENUE 7 Singapore,768928,YISHUN,NORTH,103.8299804,1.4364306,9,YISHUN WEST,YISHUN,NORTH REGION
BROADRICK SECONDARY SCHOOL,61 DAKOTA CRESCENT Singapore,399935,GEYLANG,EAST,103.8866552,1.307525,4,ALJUNIED,GEYLANG,CENTRAL REGION
BUKIT MERAH SECONDARY SCHOOL,10 LENGKOK BAHRU Singapore,159050,BUKIT MERAH,SOUTH,103.81344,1.285583,7,ALEXANDRA HILL,BUKIT MERAH,CENTRAL REGION
BUKIT PANJANG GOVT. HIGH SCHOOL,7 CHOA CHU KANG AVE 4 Singapore,689809,CHOA CHU KANG,WEST,103.738424,1.38166,4,PENG SIANG,CHOA CHU KANG,WEST REGION
DUNMAN SECONDARY SCHOOL,21 TAMPINES STREET 45 Singapore,529093,TAMPINES,EAST,103.956206,1.360673,2,TAMPINES EAST,TAMPINES,EAST REGION
JURONG SECONDARY SCHOOL,31 YUAN CHING ROAD Singapore,618652,JURONG WEST,WEST,103.7239048,1.3305084,4,TAMAN JURONG,JURONG WEST,WEST REGION
NAVAL BASE SECONDARY SCHOOL,901 YISHUN RING ROAD Singapore,768689,YISHUN,NORTH,103.8310319,1.41924,8,KHATIB,YISHUN,NORTH REGION
OUTRAM SECONDARY SCHOOL,3 YORK HILL Singapore,168622,CENTRAL,SOUTH,103.837091,1.286507,1,PEARL'S HILL,OUTRAM,CENTRAL REGION
YIO CHU KANG SECONDARY SCHOOL,3063 ANG MO KIO AVENUE 5 Singapore,569868,ANG MO KIO,NORTH,103.842103,1.377635,9,YIO CHU KANG WEST,ANG MO KIO,NORTH-EAST REGION
YUAN CHING SECONDARY SCHOOL,103 YUAN CHING ROAD Singapore,618654,JURONG WEST,WEST,103.720994,1.341917,4,TAMAN JURONG,JURONG WEST,WEST REGION
BOON LAY SECONDARY SCHOOL,11 JURONG WEST STREET 65 Singapore,648354,JURONG WEST,WEST,103.701945,1.342172,9,JURONG WEST CENTRAL,JURONG WEST,WEST REGION
BEDOK VIEW SECONDARY SCHOOL,6 BEDOK SOUTH AVENUE 3 Singapore,469293,BEDOK,EAST,103.9438629,1.3246274,6,BEDOK SOUTH,BEDOK,EAST REGION
HUA YI SECONDARY SCHOOL,60 JURONG WEST ST 42 Singapore,649371,JURONG WEST,WEST,103.72158,1.351473,3,HONG KAH,JURONG WEST,WEST REGION
DEYI SECONDARY SCHOOL,1 ANG MO KIO STREET 42 Singapore,569277,ANG MO KIO,NORTH,103.852329,1.365893,3,CHONG BOON,ANG MO KIO,NORTH-EAST REGION
PING YI SECONDARY SCHOOL,61 CHAI CHEE STREET Singapore,468980,BEDOK,EAST,103.920426,1.3278983,3,KEMBANGAN,BEDOK,EAST REGION
PEICAI SECONDARY SCHOOL,10 SERANGOON AVENUE 4 Singapore,556094,SERANGOON,SOUTH,103.8704861,1.3593733,4,SERANGOON GARDEN,SERANGOON,NORTH-EAST REGION
PASIR RIS SECONDARY SCHOOL,390 TAMPINES STREET 21 Singapore,529400,TAMPINES,EAST,103.948533,1.354757,2,TAMPINES EAST,TAMPINES,EAST REGION
GUANGYANG SECONDARY SCHOOL,8 BISHAN STREET 12 Singapore,579807,BISHAN,SOUTH,103.850566,1.344693,3,BISHAN EAST,BISHAN,CENTRAL REGION
RIVERSIDE SECONDARY SCHOOL,3 WOODLANDS STREET 81 Singapore,738524,WOODLANDS,NORTH,103.788591,1.4404834,2,MIDVIEW,WOODLANDS,NORTH REGION
ZHONGHUA SECONDARY SCHOOL,13 SERANGOON AVENUE 3 Singapore,556123,SERANGOON,SOUTH,103.8694885,1.3486694,6,SERANGOON CENTRAL,SERANGOON,NORTH-EAST REGION
SWISS COTTAGE SECONDARY SCHOOL,3 BUKIT BATOK STREET 34 Singapore,659322,BUKIT BATOK,WEST,103.75064,1.36469,2,HONG KAH NORTH,BUKIT BATOK,WEST REGION
YUSOF ISHAK SECONDARY SCHOOL,11 BUKIT BATOK STREET 25 Singapore,658712,BUKIT BATOK,WEST,103.760309,1.342423,9,BUKIT BATOK SOUTH,BUKIT BATOK,WEST REGION
CHANGKAT CHANGI SECONDARY SCHOOL,23 SIMEI ST 3 Singapore,529894,TAMPINES,EAST,103.952619,1.340939,4,SIMEI,TAMPINES,EAST REGION
TECK WHYE SECONDARY SCHOOL,31 TECK WHYE CRESCENT Singapore,688848,CHOA CHU KANG,WEST,103.755214,1.382536,1,TECK WHYE,CHOA CHU KANG,WEST REGION
DUNEARN SECONDARY SCHOOL,21 BUKIT BATOK WEST AVENUE 2 Singapore,659204,BUKIT BATOK,WEST,103.7449283,1.3634532,2,HONG KAH NORTH,BUKIT BATOK,WEST REGION
NEW TOWN SECONDARY SCHOOL,1020 DOVER ROAD Singapore,139657,QUEENSTOWN,WEST,103.7736048,1.3091505,9,SINGAPORE POLYTECHNIC,QUEENSTOWN,CENTRAL REGION
QUEENSTOWN SECONDARY SCHOOL,1 STRATHMORE ROAD Singapore,148800,QUEENSTOWN,SOUTH,103.8132036,1.2938664,5,MARGARET DRIVE,QUEENSTOWN,CENTRAL REGION
SERANGOON GARDEN SECONDARY SCHOOL,21 SERANGOON NORTH AVENUE 1 Singapore,555889,SERANGOON,SOUTH,103.868983,1.36967,4,SERANGOON GARDEN,SERANGOON,NORTH-EAST REGION
TANGLIN SECONDARY SCHOOL,301 WEST COAST ROAD Singapore,127391,CLEMENTI,SOUTH,103.7581531,1.3096831,8,CLEMENTI WEST,CLEMENTI,WEST REGION
TANJONG KATONG SECONDARY SCHOOL,130 HAIG ROAD Singapore,438796,MARINE PARADE,EAST,103.897257,1.3086279,2,KATONG,MARINE PARADE,CENTRAL REGION
WOODLANDS RING SECONDARY SCHOOL,10 WOODLANDS RING ROAD Singapore,738239,WOODLANDS,NORTH,103.8007288,1.4364147,3,WOODLANDS EAST,WOODLANDS,NORTH REGION
ORCHID PARK SECONDARY SCHOOL,10 YISHUN STREET 81 Singapore,768454,YISHUN,NORTH,103.8383822,1.4153017,4,YISHUN SOUTH,YISHUN,NORTH REGION
SEMBAWANG SECONDARY SCHOOL,30 SEMBAWANG CRESCENT Singapore,757704,SEMBAWANG,NORTH,103.8170072,1.4459577,3,SEMBAWANG CENTRAL,SEMBAWANG,NORTH REGION
SENG KANG SECONDARY SCHOOL,10 COMPASSVALE LANE Singapore,545090,SENG KANG,NORTH,103.897892,1.386517,3,SENGKANG TOWN CENTRE,SENGKANG,NORTH-EAST REGION
JUNYUAN SECONDARY SCHOOL,11 TAMPINES STREET 84 Singapore,528933,TAMPINES,EAST,103.9335232,1.3533278,3,TAMPINES WEST,TAMPINES,EAST REGION
EAST SPRING SECONDARY SCHOOL,30 TAMPINES STREET 34 Singapore,529231,TAMPINES,EAST,103.960586,1.3559969,2,TAMPINES EAST,TAMPINES,EAST REGION
UNITY SECONDARY SCHOOL,20 CHOA CHU KANG STREET 62 Singapore,689143,CHOA CHU KANG,WEST,103.746125,1.40005,6,YEW TEE,CHOA CHU KANG,WEST REGION
NORTHBROOKS SECONDARY SCHOOL,585 YISHUN RING ROAD Singapore,768692,YISHUN,NORTH,103.8450852,1.4209822,3,YISHUN EAST,YISHUN,NORTH REGION
PASIR RIS CREST SECONDARY SCHOOL,11 PASIR RIS STREET 41 Singapore,518934,PASIR RIS,EAST,103.9593862,1.3724026,5,PASIR RIS DRIVE,PASIR RIS,EAST REGION
