school_name,address,postal_code,dgp_code,zone_code,lon,lat
CHIJ SECONDARY (TOA PAYOH),626 LORONG 1 TOA PAYOH Singapore,319764,TOA PAYOH,SOUTH,103.8432669,1.3324745
GEYLANG METHODIST SCHOOL (SECONDARY),2 GEYLANG EAST CENTRAL Singapore,389705,GEYLANG,EAST,103.8829,1.318124
CHIJ KATONG CONVENT,346 MARINE TERRACE Singapore,449150,MARINE PARADE,EAST,103.9173898,1.3065932
MONTFORT SECONDARY SCHOOL,50 HOUGANG AVENUE 8 Singapore,538785,HOUGANG,NORTH,103.888992,1.373518
SINGAPORE CHINESE GIRLS' SCHOOL,190 DUNEARN ROAD Singapore,309437,NOVENA,NORTH,103.8280003,1.3211402
ST. ANDREW'S SECONDARY SCHOOL,15 FRANCIS THOMAS DRIVE Singapore,359342,TOA PAYOH,SOUTH,103.8658718,1.3307305
ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL,1600 BEDOK NORTH AVENUE 4 Singapore,469700,BEDOK,EAST,103.9419352,1.3346718
ST. GABRIEL'S SECONDARY SCHOOL,24 SERANGOON AVENUE 1 Singapore,556140,SERANGOON,SOUTH,103.8754893,1.3468395
CHIJ ST. JOSEPH'S CONVENT,62 SENGKANG EAST WAY Singapore,548595,SENG KANG,NORTH,103.902461,1.391747
ST. JOSEPH'S INSTITUTION,38 MALCOLM ROAD Singapore,308274,NOVENA,SOUTH,103.828591,1.322914
ST. MARGARET'S SECONDARY SCHOOL,111 FARRER ROAD Singapore,259240,BUKIT TIMAH,SOUTH,103.8094906,1.3198595
ST. PATRICK'S SCHOOL,490 EAST COAST ROAD Singapore,429058,BEDOK,EAST,103.916926,1.3085736
CHIJ ST. THERESA'S CONVENT,160 LOWER DELTA ROAD Singapore,099138,BUKIT MERAH,SOUTH,103.8218103,1.2753258
CHRIST CHURCH SECONDARY SCHOOL,20 WOODLANDS DRIVE 17 Singapore,737924,WOODLANDS,NORTH,103.793419,1.426395
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),296 LOR AH SOO Singapore,536742,HOUGANG,EAST,103.88551030000001,1.3508153
YUYING SECONDARY SCHOOL,47 HOUGANG AVENUE 1 Singapore,538884,HOUGANG,SOUTH,103.8900219,1.3572435
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,10 BISHAN STREET 13 Singapore,579795,BISHAN,SOUTH,103.854975,1.349774
ST. HILDA'S SECONDARY SCHOOL,2 TAMPINES STREET 82 Singapore,528986,TAMPINES,EAST,103.9366957,1.3504543
METHODIST GIRLS' SCHOOL (SECONDARY),11 BLACKMORE DRIVE Singapore,599986,BUKIT TIMAH,WEST,103.782566,1.332954
HAI SING CATHOLIC SCHOOL,9 PASIR RIS DRIVE 6 Singapore,519421,PASIR RIS,EAST,103.954463,1.374513
ANGLO-CHINESE SCHOOL (BARKER ROAD),60 BARKER ROAD Singapore,309919,NOVENA,SOUTH,103.8359365,1.3188316
ANGLICAN HIGH SCHOOL,600 UPPER CHANGI ROAD Singapore,487012,BEDOK,EAST,103.942429,1.3300216
CATHOLIC HIGH SCHOOL,9 BISHAN STREET 22 Singapore,579767,BISHAN,NORTH,103.8454488,1.3551578
CHUNG CHENG HIGH SCHOOL (MAIN),50 GOODMAN ROAD Singapore,439012,MARINE PARADE,EAST,103.8925324,1.3048047
CHUNG CHENG HIGH SCHOOL (YISHUN),11 YISHUN STREET 61 Singapore,768547,YISHUN,NORTH,103.837311,1.418737
HOLY INNOCENTS' HIGH SCHOOL,1191 UPPER SERANGOON ROAD Singapore,534786,HOUGANG,SOUTH,103.896018,1.371204
MARIS STELLA HIGH SCHOOL,25 MOUNT VERNON ROAD Singapore,368051,TOA PAYOH,NORTH,103.8782839,1.341737
NAN CHIAU HIGH SCHOOL,20 ANCHORVALE LINK Singapore,545079,SENG KANG,NORTH,103.8899803,1.389411
NANYANG GIRLS' HIGH SCHOOL,2 LINDEN DRIVE Singapore,288683,BUKIT TIMAH,WEST,103.8022688,1.3306486
CHIJ ST. NICHOLAS GIRLS' SCHOOL,501 ANG MO KIO STREET 13 Singapore,569405,ANG MO KIO,NORTH,103.8339743,1.3735892
MARYMOUNT CONVENT SCHOOL,20 MARYMOUNT ROAD Singapore,297754,TOA PAYOH,SOUTH,103.8399377,1.3406992
MANJUSRI SECONDARY SCHOOL,20 UBI AVENUE 1 Singapore,408940,GEYLANG,EAST,103.9013422,1.3274138
PRESBYTERIAN HIGH SCHOOL,5209 ANG MO KIO AVENUE 6 Singapore,569845,ANG MO KIO,NORTH,103.8431,1.382254
FAIRFIELD METHODIST SCHOOL (SECONDARY),102 DOVER ROAD Singapore,139649,QUEENSTOWN,SOUTH,103.784589,1.3017793
NGEE ANN SECONDARY SCHOOL,1 TAMPINES STREET 32 Singapore,529283,TAMPINES,EAST,103.9565479,1.3544057
SINGAPORE SPORTS SCHOOL,1 CHAMPIONS WAY Singapore,737913,WOODLANDS,NORTH,103.789056,1.426703
NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,20 CLEMENTI AVENUE 1 Singapore,129957,CLEMENTI,WEST,103.7691976,1.3065479
"SCHOOL OF THE ARTS, SINGAPORE",1 ZUBIR SAID DRIVE Singapore,227968,CENTRAL,SOUTH,103.848618,1.299447
NORTHLIGHT SCHOOL,151 TOWNER ROAD Singapore,327830,MARINE PARADE,SOUTH,103.8576769,1.3207365
ASSUMPTION PATHWAY SCHOOL,30 CASHEW ROAD Singapore,679697,BUKIT PANJANG,WEST,103.7667515,1.3705274
"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",1 TECHNOLOGY DRIVE Singapore,138572,CLEMENTI,WEST,103.7742638,1.3136526
CREST SECONDARY SCHOOL,561 JURONG EAST STREET 24 Singapore,609561,JURONG EAST,WEST,103.7431328,1.34309
SPECTRA SECONDARY SCHOOL,1 WOODLANDS DRIVE 64 Singapore,737758,WOODLANDS,NORTH,103.8043528,1.4364631
