Name,Description,SUBZONE_NO,SUBZONE_N,PLN_AREA_N,REGION_N,lon,lat
23361,Opp Keppel Logistics,2,GUL CIRCLE,PIONEER,WEST REGION,103.67883832279519,1.31910770453777
23369,Keppel Logistics,3,BENOI SECTOR,PIONEER,WEST REGION,103.67911023430729,1.3190782665840397
23371,Bef Joo Koon Int,1,JOO KOON,PIONEER,WEST REGION,103.67908146732879,1.3259544531775098
23379,Opp Joo Koon Int,1,JOO KOON,PIONEER,WEST REGION,103.67939439835483,1.3265431228454
23389,PEC Ltd,4,SHIPYARD,BOON LAY,WEST REGION,103.69377301234816,1.3075564470104402
23399,Keppel Offshore & Marine,4,SHIPYARD,BOON LAY,WEST REGION,103.69237083299342,1.3053363889899303
23409,Mobil Marine Ter,4,SHIPYARD,BOON LAY,WEST REGION,103.68933638897875,1.30352138897737
23419,Bef Shipyard Cres,4,SHIPYARD,BOON LAY,WEST REGION,103.6861461109867,1.3038077779912598
23429,Opp EMAS Marine Base,4,SHIPYARD,BOON LAY,WEST REGION,103.68472051252805,1.30456833652112
23439,Opp SML Shipyard Ltd,4,SHIPYARD,BOON LAY,WEST REGION,103.6846865688248,1.30774277950908
23441,Opp Benoi Pl,2,GUL CIRCLE,PIONEER,WEST REGION,103.67862695881057,1.3130418690639099
23449,Benoi Pl,3,BENOI SECTOR,PIONEER,WEST REGION,103.67877583300172,1.3128416670100798
23451,Jurong Shipyard,3,SAMULUN,BOON LAY,WEST REGION,103.6972844439932,1.30402666700212
23461,Tanoto Shipyard,3,SAMULUN,BOON LAY,WEST REGION,103.69643466903611,1.30546916761511
23469,Opp Tanoto Shipyard,3,SAMULUN,BOON LAY,WEST REGION,103.69683459275382,1.3050852014562
23471,Aft Benoi Rd,3,BENOI SECTOR,PIONEER,WEST REGION,103.68097194774356,1.3196634092884798
23479,Bef Benoi Rd,3,BENOI SECTOR,PIONEER,WEST REGION,103.6806598533434,1.31950924526288
23481,Molex,6,KIAN TECK,JURONG WEST,WEST REGION,103.68174669439477,1.32791691676156
23489,Opp Molex,1,JOO KOON,PIONEER,WEST REGION,103.68048864270644,1.32759688194654
23491,Joo Koon Stn Exit B,1,JOO KOON,PIONEER,WEST REGION,103.67780864699097,1.3279240836633899
23499,Joo Koon Stn Exit A,1,JOO KOON,PIONEER,WEST REGION,103.67805103515067,1.32755092355685
23501,Aft Pioneer Rd Nth,1,JOO KOON,PIONEER,WEST REGION,103.6958354332658,1.32453160328451
23509,Hoe Keng Motor,1,JOO KOON,PIONEER,WEST REGION,103.69561678727867,1.3246801303089202
23519,Opp FairPrice Hub,1,JOO KOON,PIONEER,WEST REGION,103.6793660000188,1.32479352408668
24009,Joo Koon Int,1,JOO KOON,PIONEER,WEST REGION,103.67839791240787,1.32697254709069
24011,M.C. Packaging Pte Ltd,2,GUL CIRCLE,PIONEER,WEST REGION,103.6776263194759,1.3223092397984197
